Simulation Time,No of Clients,Total Requests,Hop Reduction,Cache Hit Ratio,Latency
2024-10-21 09:08:38,8,5,0.0,0.0,0.018498321158809772
2024-10-21 09:08:38,8,10,0.0,0.0,0.009497909536705146
2024-10-21 09:08:38,8,15,0.0,0.0,0.004473083268435832
2024-10-21 09:08:38,7,25,0.0,0.0,0.0005673860764579026
2024-10-21 09:08:38,7,34,0.0,0.0,0.0019794272623353836
2024-10-21 09:08:38,8,37,0.0,0.0,0.0011289878502303645
2024-10-21 09:08:38,6,42,0.0,0.0,0.0016765077193097893
2024-10-21 09:08:38,6,45,0.0,0.0,0.0006019300038717924
2024-10-21 09:08:38,8,53,0.0,0.0,0.0006099592813447581
2024-10-21 09:08:38,8,61,0.0,0.0,0.00021996118401643384
2024-10-21 09:08:38,8,69,0.0,0.0,0.0002468812875572705
2024-10-21 09:08:38,7,75,0.0,0.0,0.0005599276475183729
2024-10-21 09:08:38,8,79,0.0,0.0,0.00019964538582843816
2024-10-21 09:08:38,6,89,0.0,0.0,0.0010367284635597377
2024-10-21 09:08:38,8,92,0.0,0.0,0.00015143299117566992
2024-10-21 09:08:38,4,102,0.0,0.0,9.929886497177323e-05
2024-10-21 09:08:38,8,110,0.0,0.0,0.0007673130463208598
2024-10-21 09:08:38,8,118,0.0,0.0,0.0008419786005443934
2024-10-21 09:08:38,7,126,0.0,0.0,0.0001602458998579246
2024-10-21 09:08:39,7,132,0.0,0.0,0.000622980364029784
2024-10-21 09:08:39,8,140,0.0,0.0,0.00025022762009542537
2024-10-21 09:08:39,7,149,0.0,0.0,0.0002550582835199011
2024-10-21 09:08:39,8,159,0.0,0.0,0.0005192920551393346
2024-10-21 09:08:39,8,169,0.0,0.0,0.0003127159560905024
2024-10-21 09:08:39,8,176,0.0,0.0,0.00012095058841619507
2024-10-21 09:08:39,8,184,0.0,0.0,6.084893692021571e-05
2024-10-21 09:08:39,8,194,0.0,0.0,0.0002229288875064663
2024-10-21 09:08:39,8,198,0.0,0.0,0.00020666956255463166
2024-10-21 09:08:39,8,203,0.0,0.0,0.0003388337777514457
2024-10-21 09:08:39,8,213,0.0,0.0,0.00023212455992136207
2024-10-21 09:08:39,6,219,0.0,0.0,4.949381167972014e-05
2024-10-21 09:08:39,6,229,0.0,0.0,0.000432559386192479
2024-10-21 09:08:39,7,234,0.0,0.0,0.0002122771291058295
2024-10-21 09:08:39,8,239,0.0041841004184100415,0.41841004184100417,0.00031798284952142556
2024-10-21 09:08:39,7,246,0.0040650406504065045,0.40650406504065045,7.441579210924336e-05
2024-10-21 09:08:39,7,255,0.00784313725490196,0.7843137254901961,0.00011124718104381038
2024-10-21 09:08:39,8,262,0.007633587786259542,0.7633587786259541,0.00032202704693753997
2024-10-21 09:08:39,7,272,0.007352941176470588,0.7352941176470588,0.00019012668205444226
2024-10-21 09:08:39,6,281,0.0071174377224199285,0.7117437722419928,0.00022088854375601488
2024-10-21 09:08:39,7,291,0.006872852233676976,0.6872852233676976,0.0003402987674358019
2024-10-21 09:08:39,7,296,0.006756756756756757,0.6756756756756757,0.00022835427083572118
2024-10-21 09:08:39,7,306,0.006535947712418301,0.6535947712418301,0.00027851792660133097
2024-10-21 09:08:39,6,312,0.00641025641025641,0.641025641025641,0.00017798564414698946
2024-10-21 09:08:39,7,319,0.006269592476489028,0.6269592476489028,3.4425024460139294e-05
2024-10-21 09:08:39,7,323,0.006191950464396285,0.6191950464396285,4.024403279864793e-05
2024-10-21 09:08:39,8,327,0.0061162079510703364,0.6116207951070336,0.00019774849838105616
2024-10-21 09:08:39,6,336,0.005952380952380952,0.5952380952380952,0.00020340543330245217
2024-10-21 09:08:39,7,341,0.005865102639296188,0.5865102639296188,0.00014304520796956755
2024-10-21 09:08:39,7,344,0.005813953488372093,0.5813953488372093,3.026821539880891e-05
2024-10-21 09:08:39,8,352,0.008522727272727272,0.8522727272727272,0.0002316531377545186
2024-10-21 09:08:39,6,356,0.008426966292134831,0.8426966292134831,8.249623667539729e-05
2024-10-21 09:08:39,8,360,0.008333333333333333,0.8333333333333334,0.00026664004280770655
2024-10-21 09:08:39,6,365,0.010958904109589041,1.095890410958904,0.00010935696538210921
2024-10-21 09:08:39,7,372,0.013440860215053764,1.3440860215053763,0.00012958483707132195
2024-10-21 09:08:39,7,379,0.013192612137203167,1.3192612137203166,0.00022788768717945485
2024-10-21 09:08:39,7,383,0.015665796344647518,1.5665796344647518,8.341814891513938e-05
2024-10-21 09:08:39,8,386,0.018134715025906734,1.8134715025906734,0.0002364967587955481
2024-10-21 09:08:39,8,395,0.017721518987341773,1.7721518987341773,0.00012873318442182936
2024-10-21 09:08:39,7,398,0.017587939698492462,1.7587939698492463,0.00017682620638117532
2024-10-21 09:08:39,8,408,0.01715686274509804,1.715686274509804,0.0001609753204996941
2024-10-21 09:08:39,8,413,0.01694915254237288,1.694915254237288,8.095963796588358e-05
2024-10-21 09:08:39,8,422,0.018957345971563982,1.8957345971563981,0.00019514807081194994
2024-10-21 09:08:39,8,426,0.018779342723004695,1.8779342723004695,0.00012174329209709261
2024-10-21 09:08:39,8,431,0.018561484918793503,1.8561484918793503,0.00010391690325997188
2024-10-21 09:08:39,5,440,0.01818181818181818,1.8181818181818181,0.00010325392686604593
2024-10-21 09:08:39,7,446,0.017937219730941704,1.7937219730941705,0.00022231125785531205
2024-10-21 09:08:39,8,450,0.017777777777777778,1.7777777777777777,0.00014131307221631746
2024-10-21 09:08:39,7,458,0.017467248908296942,1.7467248908296942,0.0001676681565799195
2024-10-21 09:08:39,8,461,0.01735357917570499,1.735357917570499,3.22711026884808e-05
2024-10-21 09:08:39,7,464,0.01939655172413793,1.9396551724137931,4.359431223473308e-05
2024-10-21 09:08:39,8,470,0.019148936170212766,1.9148936170212765,8.035291238701432e-05
2024-10-21 09:08:39,7,480,0.01875,1.875,0.00017358732969679285
2024-10-21 09:08:39,7,487,0.018480492813141684,1.8480492813141685,0.00011466988631329376
2024-10-21 09:08:39,8,491,0.018329938900203666,1.8329938900203666,0.00010926888350821767
2024-10-21 09:08:39,8,500,0.018,1.7999999999999998,0.0001261785887725459
2024-10-21 09:08:39,6,510,0.01764705882352941,1.7647058823529411,6.867808477920085e-05
2024-10-21 09:08:39,7,513,0.017543859649122806,1.7543859649122806,6.274543042294411e-05
2024-10-21 09:08:39,8,520,0.01730769230769231,1.7307692307692308,0.00017502565846410934
2024-10-21 09:08:39,6,527,0.017077798861480076,1.7077798861480076,2.749995509371667e-05
2024-10-21 09:08:39,7,533,0.016885553470919325,1.6885553470919326,7.987570498159951e-05
