Iteration,Normal_Subs,Attackers,Total_Requests,Cache_Hit,Latency,PIT_Size,Attack_Interests,Cache_Evictions,Dropped_Packets,NACK_Sent,Baseline_Latency,Scenario
1,10,4,37,2.7027027027027026,0.33472256953847745,31,4,0,2,2,0.13680054474296657,Normal
2,10,4,134,0.7462686567164178,0.24065970009720594,120,20,0,8,11,0.15825938487800395,Normal
3,10,4,184,0.5434782608695652,0.6704439438952553,165,30,2,12,17,0.371490289912883,Normal
4,10,4,266,0.7518796992481203,0.686463650790949,227,42,11,16,22,0.5101898033801482,Normal
5,10,4,326,1.5337423312883436,0.9358383727314221,263,49,14,19,26,0.41405184977248366,Normal
6,10,4,409,1.7114914425427872,0.7425335030461061,318,60,21,24,31,0.3114559467194021,Normal
7,10,4,434,1.8433179723502304,0.5408113898016392,328,62,21,25,32,0.6050659229641173,Normal
8,10,4,481,1.8711018711018712,0.6606364267118283,350,68,25,29,34,0.8274419939638077,Normal
9,10,4,508,1.7716535433070866,0.6460058020077375,366,72,28,31,36,0.360595850135199,Normal
10,10,4,586,1.7064846416382253,0.7563108355411057,409,81,34,35,41,0.9675505914579701,Normal
11,10,4,674,1.483679525222552,0.6816346741261874,455,93,42,39,47,0.6642292588982747,Normal
12,10,4,750,1.3333333333333335,1.0414798580870743,497,106,52,42,53,0.7367077456519594,Normal
13,10,4,792,1.5151515151515151,0.7147555308971015,506,110,55,42,56,0.8366466090722194,Normal
14,10,4,877,1.3683010262257698,1.0498531915417357,541,120,63,49,58,0.8157202957165924,Normal
15,10,4,905,1.3259668508287292,0.8451861557943013,556,124,66,49,62,1.2721255746991371,Normal
16,10,4,921,1.3029315960912053,0.7099682817985644,565,128,68,51,64,1.0578994855369563,Normal
17,10,4,978,1.329243353783231,0.6971714231909165,579,133,73,52,68,1.2230593850610676,Normal
18,10,4,1017,1.27826941986234,1.6397401925346742,590,137,77,54,71,1.5815056166219863,Normal
19,10,4,1087,1.1959521619135236,0.9770484643086568,614,147,84,54,79,0.6590751868756602,Normal
20,10,4,1131,1.3262599469496021,1.7206702247141883,621,153,87,57,81,0.7610714892656697,Normal
21,10,4,1198,1.335559265442404,1.9867110911001442,639,160,93,61,84,0.7712922926599699,Normal
22,10,4,1236,1.3754045307443366,1.0147102201295428,647,164,97,62,87,1.8562753054454846,Normal
23,10,4,1317,1.366742596810934,1.8737560528594974,672,173,103,65,92,1.588483770485839,Normal
24,10,4,1348,1.3353115727002967,1.3703964235423836,684,177,106,65,96,1.1890714779643035,Normal
25,10,4,1402,1.2838801711840229,1.3856633999864854,699,184,111,68,99,0.8986297020128258,Normal
26,10,4,1445,1.314878892733564,1.4750283618562203,710,192,116,70,103,1.5159689120006983,IFA_Attack
27,10,4,1536,1.4322916666666665,1.1452624863275827,734,200,124,72,106,1.9067357889807643,IFA_Attack
28,10,4,1575,1.3968253968253967,2.271758721415669,746,207,128,73,111,0.6857239218384608,IFA_Attack
29,10,4,1623,1.3555144793592113,2.4098873082395773,748,210,132,76,111,1.7680465772882266,IFA_Attack
30,10,4,1647,1.3964784456587735,1.2165925847902268,748,212,134,76,113,0.9171535025468218,IFA_Attack
31,10,4,1688,1.3625592417061612,0.8808238850031161,751,216,138,78,115,0.8818092564030797,IFA_Attack
32,10,4,1755,1.3675213675213675,2.3123075387588465,766,224,145,81,118,1.0615359372919457,IFA_Attack
33,10,4,1815,1.3774104683195594,1.5924779047559163,788,232,150,84,123,2.1921821258928635,IFA_Attack
34,10,4,1858,1.5069967707212055,2.3572072178769368,790,236,152,86,125,1.262576466249728,IFA_Attack
35,10,4,1883,1.486988847583643,2.331998230377867,794,237,155,87,125,0.8688038486933511,IFA_Attack
36,10,4,1965,1.5267175572519083,2.188884749794278,812,247,160,92,130,1.4812168833634294,IFA_Attack
37,10,4,2009,1.5430562468889994,1.4521858893676842,818,251,164,93,133,1.5987627242675913,IFA_Attack
38,10,4,2052,1.6569200779727096,1.0731595891332497,819,252,167,93,134,1.2546469441522234,IFA_Attack
39,10,4,2139,1.729780271154745,1.2862758615564884,829,260,173,96,138,0.9758147748064349,IFA_Attack
40,10,4,2193,1.68718650250798,1.4114565207505854,829,264,179,96,142,0.9585224571060955,IFA_Attack
41,10,4,2251,1.6881386050644158,1.069173001302325,834,272,184,99,147,1.102179804210876,IFA_Attack
42,10,4,2334,1.6281062553556127,1.7803843588363197,843,280,192,103,150,1.6078893040557236,IFA_Attack
43,10,4,2386,1.7183570829840737,1.71132131627204,852,284,195,104,153,0.9028029352291991,IFA_Attack
44,10,4,2475,1.7373737373737375,1.9008506110937282,860,290,201,108,155,2.2041598976712535,IFA_Attack
45,10,4,2517,1.7083829956297178,1.4796836932448978,860,294,205,111,156,1.7773636769087042,IFA_Attack
46,10,4,2549,1.6869360533542563,2.0098672809952283,865,298,208,114,157,1.3130300333957952,IFA_Attack
47,10,4,2595,1.6570327552986512,1.678088461784207,867,302,213,117,158,2.440469915735506,IFA_Attack
48,10,4,2643,1.6269390843738174,2.0565935809925677,872,307,219,121,159,2.0771749890903712,IFA_Attack
49,10,4,2665,1.6510318949343339,1.4671335929578964,872,308,221,122,159,1.759267629745619,IFA_Attack
50,10,4,2722,1.653196179279941,2.922759109906818,886,315,226,126,162,1.3458979810047753,IFA_Attack
51,10,4,2752,1.6715116279069766,1.5000925225671207,886,315,229,126,163,1.55266061095888,IFA_Attack
52,10,4,2806,1.6749821810406271,1.2669221792805307,886,320,234,127,166,1.2862890141013257,IFA_Attack
53,10,4,2868,1.6387726638772664,1.9589876696200534,886,324,242,129,167,2.3646107729741415,IFA_Attack
54,10,4,2930,1.6040955631399316,2.0658916259292663,889,328,250,129,169,1.5602778239512751,IFA_Attack
55,10,4,2961,1.5873015873015872,2.0469351833300276,890,329,254,130,169,1.5734024105991666,IFA_Attack
56,10,4,3014,1.6257465162574651,1.8042674006348236,894,333,258,133,170,2.1405448474635516,IFA_Attack
57,10,4,3067,1.6302575806977502,2.7882179815509835,897,337,264,135,172,2.1541468076018213,IFA_Attack
