Iteration,Normal_Subs,Attackers,Total_Requests,Cache_Hit,Latency,PIT_Size,Attack_Interests,Cache_Evictions,Dropped_Packets,NACK_Sent,Baseline_Latency,Scenario
26,10,4,1993,1.053687907676869,2.453394119391959,749,413,125,183,188,1.5119150155827865,IFA_Attack
27,10,4,2101,0.9995240361732507,1.1202973878026006,776,442,133,194,205,1.1043689674581838,IFA_Attack
28,10,4,2159,1.1579434923575729,1.7956784763322615,783,452,135,199,209,1.4080411693992254,IFA_Attack
29,10,4,2254,1.2422360248447204,2.2214705414770015,793,468,141,205,216,1.7351294763491356,IFA_Attack
30,10,4,2325,1.2903225806451613,1.22477813527451,802,476,145,209,219,1.151989389560464,IFA_Attack
31,10,4,2384,1.3003355704697988,1.07258417421275,808,484,151,211,223,0.7425438429384446,IFA_Attack
32,10,4,2437,1.3130898645876077,1.2649767475400764,820,491,154,213,228,1.6342751086850766,IFA_Attack
33,10,4,2496,1.3221153846153846,1.5581957439945073,825,496,158,216,229,1.6204922906437798,IFA_Attack
34,10,4,2538,1.3790386130811663,2.5335505059766086,826,500,161,217,232,0.8735115788130072,IFA_Attack
35,10,4,2577,1.3581684128831975,2.284939419646779,828,504,165,220,233,2.010523845991749,IFA_Attack
36,10,4,2644,1.32375189107413,1.5912120838995274,829,513,172,225,236,0.7512748774304028,IFA_Attack
37,10,4,2712,1.3274336283185841,2.804962152505774,837,525,177,229,243,2.120252296260095,IFA_Attack
38,10,4,2780,1.2949640287769784,1.0555171622320234,839,540,182,237,249,1.0251460778150712,IFA_Attack
39,10,4,2881,1.2495661228740023,1.5896531928769502,843,566,189,249,260,0.8158428551899441,IFA_Attack
40,10,4,2909,1.271914747335854,1.8659306710446568,844,567,192,250,260,1.7431449221609094,IFA_Attack
41,10,4,2992,1.2700534759358288,2.5349764165940587,851,577,198,256,264,1.5031889091348802,IFA_Attack
42,10,4,3051,1.2454932808915111,1.7503909062401248,856,585,203,262,266,1.2786920031283064,IFA_Attack
43,10,4,3092,1.261319534282018,1.0367978108843454,858,590,207,263,269,2.2434077590031545,IFA_Attack
44,10,4,3139,1.2742911755336095,2.4286003780371725,859,595,212,265,271,1.0227217150292711,IFA_Attack
45,10,4,3210,1.277258566978193,2.2345735923369254,863,607,217,273,274,1.3671227953151959,IFA_Attack
46,10,4,3287,1.3081837541831458,2.2634992169408936,866,619,221,278,279,1.9148250095822543,IFA_Attack
47,10,4,3349,1.3436846819946253,1.251065507636414,873,627,227,279,283,1.260346624596897,IFA_Attack
48,10,4,3392,1.3266509433962264,2.33956822923424,874,632,233,281,286,1.2484138288327715,IFA_Attack
49,10,4,3456,1.3310185185185186,2.1793935669291216,879,640,237,286,289,2.182436769679895,IFA_Attack
50,10,4,3497,1.315413211323992,1.878323362107245,879,644,241,287,292,1.0801094525036818,IFA_Attack
51,10,4,3544,1.2979683972911964,1.8829792636354221,882,648,247,289,294,1.4281588632827502,IFA_Attack
52,10,4,3577,1.3419066256639642,1.9880674313474025,882,652,250,291,294,1.33764050086073,IFA_Attack
53,10,4,3587,1.366044047950934,2.1830249447475896,882,652,251,291,294,1.043668376910349,IFA_Attack
54,10,4,3621,1.3532173432753383,2.8223423921963704,884,657,255,292,297,1.5541798449373323,IFA_Attack
55,10,4,3647,1.3709898546750754,2.7034492551296334,886,660,257,294,298,2.2233822515669774,IFA_Attack
56,10,4,3683,1.3575889220743957,2.143635912111668,887,664,262,297,298,1.412217807414292,IFA_Attack
57,10,4,3739,1.3372559507889812,1.4323922275792265,889,674,269,300,303,1.7496487565279453,IFA_Attack
58,10,4,3812,1.3378803777544597,2.1202506901546987,889,686,275,304,309,2.183402898969524,IFA_Attack
59,10,4,3867,1.3188518231186968,2.5731693106084736,891,694,280,306,315,1.8232038367849712,IFA_Attack
60,10,4,3915,1.3282247765006385,2.0091272232902773,891,702,283,311,318,1.6949496752618867,IFA_Attack
61,10,4,3967,1.3108142172926645,1.23225745486094,894,706,289,314,319,2.0221297411833814,IFA_Attack
62,10,4,4013,1.320707699975081,2.004887912828515,899,714,294,319,321,1.2977422429547218,IFA_Attack
63,10,4,4061,1.354346220142822,2.194587374713215,904,718,298,321,322,2.0917352945450665,IFA_Attack
64,10,4,4108,1.3631937682570594,2.2147755919103496,904,722,302,324,323,2.3760660156685307,IFA_Attack
65,10,4,4143,1.3758146270818248,2.3782529395376217,905,726,305,324,327,1.9717841414429975,IFA_Attack
66,10,4,4164,1.392891450528338,2.86976961625857,905,728,308,324,328,2.1601907619897727,IFA_Attack
67,10,4,4187,1.3852400286601385,2.6299656074448907,905,730,311,326,328,2.530423915876204,IFA_Attack
68,10,4,4280,1.355140186915888,2.6475267278522705,907,742,319,330,336,2.4509075698602145,IFA_Attack
69,10,4,4324,1.341350601295097,2.6674166593761175,907,750,324,334,340,2.2874507229675984,IFA_Attack
70,10,4,4379,1.3245033112582782,1.0856590025465347,909,754,331,336,340,1.748834264672672,IFA_Attack
71,10,4,4428,1.3324299909665764,1.1289056718293764,909,758,336,337,343,1.7018630091910405,IFA_Attack
72,10,4,4500,1.3333333333333335,1.57853901399341,910,766,343,340,348,2.722261877057271,IFA_Attack
73,10,4,4574,1.3117621337997376,1.182097577768002,911,774,350,343,353,2.2378880067847438,IFA_Attack
74,10,4,4623,1.3194895089768548,2.958369987311326,913,780,354,343,358,1.8330119506900746,IFA_Attack
75,10,4,4682,1.3455788124733021,2.819342795747552,914,786,359,346,361,1.4824817708122564,IFA_Attack
76,10,4,4716,1.3358778625954197,1.7452730141923545,915,790,363,347,364,1.3707866787951346,IFA_Attack
