Iteration,Normal_Subs,Attackers,Total_Requests,Cache_Hit,Latency,PIT_Size,Attack_Interests,Cache_Evictions,Dropped_Packets,NACK_Sent,Baseline_Latency,Scenario
1,10,4,94,0.0,0.5116774785838617,88,22,0,5,13,0.23795275274592007,Normal
2,10,4,265,0.7547169811320755,0.4465422106672289,206,59,2,19,31,0.39825489893008403,Normal
3,10,4,310,0.967741935483871,0.379146020735185,237,67,5,21,37,0.252804949700915,Normal
4,10,4,353,0.84985835694051,1.0317540788822248,260,78,8,28,41,0.510057514968427,Normal
5,10,4,450,0.8888888888888888,1.1341207360081638,320,98,15,34,52,0.48827828401690987,Normal
6,10,4,476,1.050420168067227,1.0894462624774637,339,102,17,35,54,0.30823457147981154,Normal
7,10,4,595,1.0084033613445378,0.6988803448823032,404,126,27,48,62,0.7835972198427499,Normal
8,10,4,626,0.9584664536741214,0.8548485985911978,421,131,31,51,64,0.7939310011386107,Normal
9,10,4,758,1.0554089709762533,1.5701720266418067,480,162,39,60,82,0.6610822569400512,Normal
10,10,4,840,1.0714285714285714,1.2590173190811578,510,179,45,68,89,0.6452602881712014,Normal
11,10,4,861,1.0452961672473868,1.0734141551191168,519,183,47,69,92,0.4372905966340782,Normal
12,10,4,935,1.06951871657754,1.0157471359651544,544,200,52,80,97,0.48961348419632683,Normal
13,10,4,1086,1.1049723756906076,1.743324603499191,580,233,61,95,110,1.2654918726627724,Normal
14,10,4,1235,1.0526315789473684,1.907497041916751,630,271,68,116,125,0.8835166725790867,Normal
15,10,4,1297,1.002313030069391,0.9380122471315692,643,286,73,123,133,0.5566536580770565,Normal
16,10,4,1374,0.9461426491994178,1.3986084993271384,655,302,78,128,143,0.9365073010737509,Normal
17,10,4,1400,0.9285714285714286,0.8954989485220102,662,306,81,131,144,1.3234057106286807,Normal
18,10,4,1450,0.8965517241379309,0.9447315101500232,674,314,86,135,148,1.0751029766128224,Normal
19,10,4,1496,0.9358288770053476,1.5393492995382367,683,322,89,139,152,1.0245095680279215,Normal
20,10,4,1553,0.901481004507405,2.1874465611469223,701,331,94,142,157,1.5108971282408876,Normal
21,10,4,1627,0.921942224953903,0.9131506815959184,704,342,98,149,160,0.5851734119982106,Normal
22,10,4,1660,1.0240963855421688,1.3249253254462225,706,347,100,151,162,0.8397151348430766,Normal
23,10,4,1744,1.146788990825688,0.9312205512858076,715,363,106,160,168,0.8647650877189748,Normal
24,10,4,1895,1.108179419525066,1.7411512924026749,737,392,117,173,179,0.6667618691666177,Normal
25,10,4,1928,1.0892116182572613,0.868021210485164,741,400,119,178,182,1.2979126615599565,Normal
77,10,4,4777,1.3397529830437513,2.1010897403640048,915,798,370,351,367,2.7087294120845167,Normal
78,10,4,4835,1.3650465356773527,2.90416392619727,916,802,375,353,368,2.105365310040886,Normal
79,10,4,4908,1.365118174409128,2.5887330440183347,920,814,381,357,375,1.8145202719252949,Normal
80,10,4,4955,1.372351160443996,2.624673927515523,921,818,386,360,376,1.3790994279412947,Normal
81,10,4,4999,1.3802760552110422,2.3933292862798363,921,822,390,362,378,1.4372058970440877,Normal
82,10,4,5021,1.3941445927106155,2.1290971641282814,921,823,392,363,378,2.475712097344214,Normal
83,10,4,5076,1.3987391646966114,1.2838756775491154,927,830,397,367,381,1.8530317733359258,Normal
84,10,4,5131,1.4032352367959462,2.0369750152845496,929,834,401,369,383,2.2126010445189004,Normal
85,10,4,5172,1.3921113689095126,1.6963930628089823,929,838,407,371,385,1.944238930712337,Normal
86,10,4,5228,1.396327467482785,2.1142154933805597,929,849,411,376,391,2.304741835918751,Normal
87,10,4,5273,1.3844111511473545,1.3854698320875471,929,853,416,379,391,2.1903147769296436,Normal
88,10,4,5329,1.40739350722462,3.0015510600051902,930,862,419,382,396,1.1824639723662889,Normal
89,10,4,5372,1.4147431124348473,2.8341315551767665,931,866,422,385,397,1.5259508474750703,Normal
90,10,4,5456,1.4479472140762462,1.6763425459308496,933,878,426,391,403,2.170377603532782,Normal
91,10,4,5514,1.4327167210736307,3.0968957334957348,933,882,432,392,406,1.74705634829544,Normal
92,10,4,5589,1.4134907854714618,2.317554662439001,933,890,439,396,409,2.46626979116195,Normal
93,10,4,5659,1.4136773281498498,1.6503117951876447,937,895,446,398,411,1.2235800740279499,Normal
94,10,4,5680,1.4084507042253522,2.8968713309943257,937,898,448,398,414,1.4053465063779047,Normal
95,10,4,5740,1.4285714285714286,1.2618184334335059,938,903,452,400,416,2.0669953689050278,Normal
96,10,4,5809,1.446032019280427,1.5179889131740771,939,908,458,404,417,2.8321314590289006,Normal
97,10,4,5842,1.4378637452927079,1.7718640574205715,939,911,463,406,418,1.5083490895142995,Normal
98,10,4,5923,1.4182002363667061,1.5337836117892594,940,923,468,412,423,2.7386455997660706,Normal
99,10,4,5998,1.4338112704234744,3.076086240989996,941,931,474,417,426,1.0446588527164367,Normal
100,10,4,6044,1.439444076770351,2.9708735076405803,941,935,478,419,428,1.7084212553494647,Normal
