Iteration,Normal_Subs,Attackers,Total_Requests,Cache_Hit,Latency,PIT_Size,Attack_Interests,Cache_Evictions,Dropped_Packets,NACK_Sent,Baseline_Latency,Scenario
1,10,4,94,0.0,0.5116774785838617,88,22,0,5,13,0.23795275274592007,Normal
2,10,4,265,0.7547169811320755,0.4465422106672289,206,59,2,19,31,0.39825489893008403,Normal
3,10,4,310,0.967741935483871,0.379146020735185,237,67,5,21,37,0.252804949700915,Normal
4,10,4,353,0.84985835694051,1.0317540788822248,260,78,8,28,41,0.510057514968427,Normal
5,10,4,450,0.8888888888888888,1.1341207360081638,320,98,15,34,52,0.48827828401690987,Normal
6,10,4,476,1.050420168067227,1.0894462624774637,339,102,17,35,54,0.30823457147981154,Normal
7,10,4,595,1.0084033613445378,0.6988803448823032,404,126,27,48,62,0.7835972198427499,Normal
8,10,4,626,0.9584664536741214,0.8548485985911978,421,131,31,51,64,0.7939310011386107,Normal
9,10,4,758,1.0554089709762533,1.5701720266418067,480,162,39,60,82,0.6610822569400512,Normal
10,10,4,840,1.0714285714285714,1.2590173190811578,510,179,45,68,89,0.6452602881712014,Normal
11,10,4,861,1.0452961672473868,1.0734141551191168,519,183,47,69,92,0.4372905966340782,Normal
12,10,4,935,1.06951871657754,1.0157471359651544,544,200,52,80,97,0.48961348419632683,Normal
13,10,4,1086,1.1049723756906076,1.743324603499191,580,233,61,95,110,1.2654918726627724,Normal
14,10,4,1235,1.0526315789473684,1.907497041916751,630,271,68,116,125,0.8835166725790867,Normal
15,10,4,1297,1.002313030069391,0.9380122471315692,643,286,73,123,133,0.5566536580770565,Normal
16,10,4,1374,0.9461426491994178,1.3986084993271384,655,302,78,128,143,0.9365073010737509,Normal
17,10,4,1400,0.9285714285714286,0.8954989485220102,662,306,81,131,144,1.3234057106286807,Normal
18,10,4,1450,0.8965517241379309,0.9447315101500232,674,314,86,135,148,1.0751029766128224,Normal
19,10,4,1496,0.9358288770053476,1.5393492995382367,683,322,89,139,152,1.0245095680279215,Normal
20,10,4,1553,0.901481004507405,2.1874465611469223,701,331,94,142,157,1.5108971282408876,Normal
21,10,4,1627,0.921942224953903,0.9131506815959184,704,342,98,149,160,0.5851734119982106,Normal
22,10,4,1660,1.0240963855421688,1.3249253254462225,706,347,100,151,162,0.8397151348430766,Normal
23,10,4,1744,1.146788990825688,0.9312205512858076,715,363,106,160,168,0.8647650877189748,Normal
24,10,4,1895,1.108179419525066,1.7411512924026749,737,392,117,173,179,0.6667618691666177,Normal
25,10,4,1928,1.0892116182572613,0.868021210485164,741,400,119,178,182,1.2979126615599565,Normal
26,10,4,1993,1.053687907676869,2.453394119391959,749,413,125,183,188,1.5119150155827865,IFA_Attack
27,10,4,2101,0.9995240361732507,1.1202973878026006,776,442,133,194,205,1.1043689674581838,IFA_Attack
28,10,4,2159,1.1579434923575729,1.7956784763322615,783,452,135,199,209,1.4080411693992254,IFA_Attack
29,10,4,2254,1.2422360248447204,2.2214705414770015,793,468,141,205,216,1.7351294763491356,IFA_Attack
30,10,4,2325,1.2903225806451613,1.22477813527451,802,476,145,209,219,1.151989389560464,IFA_Attack
31,10,4,2384,1.3003355704697988,1.07258417421275,808,484,151,211,223,0.7425438429384446,IFA_Attack
32,10,4,2437,1.3130898645876077,1.2649767475400764,820,491,154,213,228,1.6342751086850766,IFA_Attack
33,10,4,2496,1.3221153846153846,1.5581957439945073,825,496,158,216,229,1.6204922906437798,IFA_Attack
34,10,4,2538,1.3790386130811663,2.5335505059766086,826,500,161,217,232,0.8735115788130072,IFA_Attack
35,10,4,2577,1.3581684128831975,2.284939419646779,828,504,165,220,233,2.010523845991749,IFA_Attack
36,10,4,2644,1.32375189107413,1.5912120838995274,829,513,172,225,236,0.7512748774304028,IFA_Attack
37,10,4,2712,1.3274336283185841,2.804962152505774,837,525,177,229,243,2.120252296260095,IFA_Attack
38,10,4,2780,1.2949640287769784,1.0555171622320234,839,540,182,237,249,1.0251460778150712,IFA_Attack
39,10,4,2881,1.2495661228740023,1.5896531928769502,843,566,189,249,260,0.8158428551899441,IFA_Attack
40,10,4,2909,1.271914747335854,1.8659306710446568,844,567,192,250,260,1.7431449221609094,IFA_Attack
41,10,4,2992,1.2700534759358288,2.5349764165940587,851,577,198,256,264,1.5031889091348802,IFA_Attack
42,10,4,3051,1.2454932808915111,1.7503909062401248,856,585,203,262,266,1.2786920031283064,IFA_Attack
43,10,4,3092,1.261319534282018,1.0367978108843454,858,590,207,263,269,2.2434077590031545,IFA_Attack
44,10,4,3139,1.2742911755336095,2.4286003780371725,859,595,212,265,271,1.0227217150292711,IFA_Attack
45,10,4,3210,1.277258566978193,2.2345735923369254,863,607,217,273,274,1.3671227953151959,IFA_Attack
46,10,4,3287,1.3081837541831458,2.2634992169408936,866,619,221,278,279,1.9148250095822543,IFA_Attack
